probe_id,mad
206676_at,0.2984027
209728_at,0.29705977
211560_s_at,0.2862169
207341_at,0.2740773
207826_s_at,0.26990032
213831_at,0.26955912
206851_at,0.26664495
209480_at,0.26576382
209995_s_at,0.26525185
210244_at,0.2640702
203948_s_at,0.26255953
203757_s_at,0.26165277
206255_at,0.26107776
207384_at,0.26101568
225782_at,0.25713196
212531_at,0.25281027
207802_at,0.25196397
210487_at,0.25113612
207269_at,0.25016397
214575_s_at,0.25004214
206207_at,0.24732833
209395_at,0.24467698
231688_at,0.24046165
210254_at,0.24037845
221969_at,0.23947406
205653_at,0.23912899
205557_at,0.23647076
201427_s_at,0.23580816
1566363_at,0.23322132
205837_s_at,0.23318242
39318_at,0.23198819
205513_at,0.22719264
209369_at,0.2266294
206871_at,0.22659487
1565162_s_at,0.22646256
211743_s_at,0.22487947
210746_s_at,0.22428739
204581_at,0.22293007
242064_at,0.22285789
211657_at,0.22104475
220377_at,0.21914212
1554892_a_at,0.21907228
220068_at,0.21814574
212768_s_at,0.21779501
204351_at,0.21755773
211821_x_at,0.21738604
224918_x_at,0.21727455
223669_at,0.21663141
219672_at,0.21576937
227923_at,0.2150517
202718_at,0.21457723
206398_s_at,0.21369308
219737_s_at,0.21305916
219837_s_at,0.21178702
230983_at,0.21177778
211820_x_at,0.21158013
206145_at,0.21014649
206177_s_at,0.20905264
207655_s_at,0.20902807
223708_at,0.20831037
213668_s_at,0.208043
223422_s_at,0.20796332
208470_s_at,0.20778844
202018_s_at,0.20775507
232629_at,0.20703474
205936_s_at,0.20537433
214433_s_at,0.2026115
205592_at,0.20231825
205627_at,0.20059279
203435_s_at,0.19853921
206120_at,0.19735754
220416_at,0.19662249
206660_at,0.19618352
207329_at,0.19618234
209396_s_at,0.1959075
240336_at,0.19563872
214146_s_at,0.19552378
205267_at,0.19471079
206522_at,0.1942565
209774_x_at,0.19226897
219890_at,0.19214872
205051_s_at,0.1920234
205049_s_at,0.191883
203372_s_at,0.1917478
201506_at,0.19157691
208791_at,0.19107118
205382_s_at,0.19095439
214407_x_at,0.18864983
203373_at,0.18747437
205950_s_at,0.18593259
219686_at,0.18495643
213258_at,0.18410447
211506_s_at,0.18392949
214777_at,0.18363416
205997_at,0.18311939
205624_at,0.18307382
209099_x_at,0.18256587
228056_s_at,0.1821714
221602_s_at,0.18213618
217963_s_at,0.18154636
206697_s_at,0.18145075
216667_at,0.18139443
235818_at,0.18098499
228988_at,0.18024229
201110_s_at,0.1794952
244413_at,0.17887487
215646_s_at,0.17854205
236203_at,0.17830579
237403_at,0.17779754
203290_at,0.17767105
231736_x_at,0.17756441
38521_at,0.17714298
230896_at,0.17712365
228492_at,0.17686076
228055_at,0.17670149
1554127_s_at,0.17620221
206390_x_at,0.17613654
229934_at,0.1760621
201015_s_at,0.17570096
207459_x_at,0.1754433
212387_at,0.17516267
206157_at,0.17488793
219218_at,0.1746262
203949_at,0.1741116
236694_at,0.17402586
209959_at,0.17387995
203936_s_at,0.173871
1565358_at,0.17323697
229584_at,0.17272776
216268_s_at,0.17255437
214651_s_at,0.17232777
217378_x_at,0.17203993
212385_at,0.17199259
204614_at,0.17190704
220005_at,0.17179644
212012_at,0.17149122
218559_s_at,0.17144194
206674_at,0.1710878
44790_s_at,0.17094694
205239_at,0.17062326
230877_at,0.17052372
211644_x_at,0.17046583
222146_s_at,0.17029496
205048_s_at,0.17002231
206937_at,0.16998431
201324_at,0.16984011
209301_at,0.1694794
212956_at,0.16930076
244172_at,0.16926481
205767_at,0.16896465
213524_s_at,0.16876587
206111_at,0.16866326
217975_at,0.16862714
218825_at,0.16862059
227030_at,0.16795862
201418_s_at,0.16773392
209183_s_at,0.16761932
244261_at,0.16754961
214131_at,0.16732618
221731_x_at,0.16721134
202242_at,0.16694494
231078_at,0.16680858
227769_at,0.16674548
209524_at,0.16645217
205268_s_at,0.16635767
1553369_at,0.16628882
229002_at,0.1661905
205838_at,0.1659476
234307_s_at,0.16505106
207674_at,0.16497956
227235_at,0.16497767
216317_x_at,0.16454905
204030_s_at,0.16454142
218718_at,0.1644114
228592_at,0.16439077
201743_at,0.1643362
230802_at,0.16413319
236307_at,0.1639685
1552398_a_at,0.16349229
206698_at,0.16335432
224973_at,0.16335148
221234_s_at,0.16316448
218454_at,0.16293384
201109_s_at,0.16266966
209930_s_at,0.16255586
232618_at,0.16249084
223044_at,0.16237652
209555_s_at,0.16223796
238021_s_at,0.16217138
204466_s_at,0.16167879
227478_at,0.1616224
212999_x_at,0.16159819
1555756_a_at,0.16150413
241742_at,0.16106483
222692_s_at,0.16093029
228837_at,0.1605373
210664_s_at,0.16035658
204409_s_at,0.16025108
212382_at,0.16024028
225790_at,0.16010666
205040_at,0.1595836
214039_s_at,0.15937822
205801_s_at,0.15928207
209576_at,0.1592526
218847_at,0.15905116
205041_s_at,0.158537
218332_at,0.15839562
208029_s_at,0.1583623
206310_at,0.15831083
206881_s_at,0.15830395
204971_at,0.15769988
204410_at,0.15735164
213891_s_at,0.15717733
223646_s_at,0.15691298
222717_at,0.15691108
228976_at,0.15689743
227692_at,0.15686426
202890_at,0.1567829
215047_at,0.15650725
204214_s_at,0.15608129
1566428_at,0.15572983
220088_at,0.15562275
205640_at,0.155606
221909_at,0.155527
205297_s_at,0.15549916
202833_s_at,0.15528634
204748_at,0.15527064
215049_x_at,0.15525998
204724_s_at,0.15519954
220001_at,0.15517099
227297_at,0.15512091
210517_s_at,0.15498835
221491_x_at,0.15456808
205403_at,0.15456083
206515_at,0.15442424
204848_x_at,0.15396154
223828_s_at,0.15367411
210084_x_at,0.15358393
223670_s_at,0.15354872
204419_x_at,0.15319717
232530_at,0.15316659
218899_s_at,0.15310156
204304_s_at,0.15302896
203753_at,0.15290241
219471_at,0.15286325
207850_at,0.15251073
205237_at,0.15249038
226751_at,0.15248373
1554997_a_at,0.1524513
232383_at,0.15221739
204620_s_at,0.15217532
239278_at,0.1521405
204112_s_at,0.15196836
206715_at,0.15194684
216576_x_at,0.15189572
212592_at,0.15159762
209583_s_at,0.15141377
238022_at,0.15138608
204619_s_at,0.15099356
221942_s_at,0.1508095
205001_s_at,0.15065801
212013_at,0.15062185
224367_at,0.15050195
243780_at,0.15047647
227474_at,0.1502335
205896_at,0.15022798
232231_at,0.15019351
215176_x_at,0.1500245
203021_at,0.15002006
227198_at,0.14905667
215925_s_at,0.14877754
226864_at,0.14874186
219332_at,0.14857477
205568_at,0.14855489
207741_x_at,0.1483678
238919_at,0.1483095
217418_x_at,0.14803773
210430_x_at,0.1480142
205119_s_at,0.14797638
215382_x_at,0.14790812
210948_s_at,0.1478897
211571_s_at,0.14779387
231049_at,0.14769158
238513_at,0.14762676
214464_at,0.14761972
203799_at,0.14760636
239214_at,0.14758104
1561690_at,0.14757581
206624_at,0.14756396
209906_at,0.14755714
230263_s_at,0.14736474
205844_at,0.14733326
220570_at,0.14719446
204004_at,0.14711282
235085_at,0.14703578
225019_at,0.1470348
234980_at,0.14693879
210783_x_at,0.14676917
220807_at,0.14666183
203819_s_at,0.14657277
201325_s_at,0.146559
202949_s_at,0.14644378
210586_x_at,0.14638454
213338_at,0.14626615
235721_at,0.14620565
209160_at,0.14613828
206067_s_at,0.14594693
204039_at,0.14587826
210145_at,0.14567049
226636_at,0.14548115
1563209_a_at,0.14541662
235982_at,0.1454132
203645_s_at,0.14540693
221698_s_at,0.14535147
212671_s_at,0.14532673
228915_at,0.1449987
201462_at,0.14499475
235086_at,0.14494047
217867_x_at,0.1444842
210190_at,0.14428522
222281_s_at,0.1442841
206380_s_at,0.14423116
232623_at,0.14410295
209791_at,0.14409888
205131_x_at,0.1440799
229530_at,0.14389645
226043_at,0.14372715
205484_at,0.14357236
227646_at,0.14356658
204959_at,0.14351109
228058_at,0.14342965
242020_s_at,0.14339909
202286_s_at,0.14336976
221748_s_at,0.14329293
218857_s_at,0.14306518
227798_at,0.14297625
203355_s_at,0.14267907
1555779_a_at,0.14267841
230206_at,0.14266187
209905_at,0.142642
213150_at,0.14262739
202219_at,0.14251548
228266_s_at,0.14244893
223280_x_at,0.1423676
243808_at,0.14234103
223501_at,0.14233895
206488_s_at,0.14226261
1554899_s_at,0.14197353
202990_at,0.14181416
203434_s_at,0.14177153
206393_at,0.14170823
205683_x_at,0.14168096
221349_at,0.1414158
235278_at,0.1413771
212841_s_at,0.14129758
1559263_s_at,0.14126928
229967_at,0.14121257
229461_x_at,0.14107923
220450_at,0.14095418
243362_s_at,0.14066973
214511_x_at,0.14050356
227265_at,0.14050066
205174_s_at,0.1404565
231644_at,0.14041537
230240_at,0.14040926
201189_s_at,0.14039141
227654_at,0.1403327
216401_x_at,0.14029475
226223_at,0.14017569
224480_s_at,0.14003861
1552924_a_at,0.13996574
227671_at,0.13991964
1566482_at,0.13985197
1553723_at,0.13978572
1557813_at,0.13960074
210356_x_at,0.1394702
224356_x_at,0.1394389
202005_at,0.13935827
231793_s_at,0.13933519
242832_at,0.13911986
217388_s_at,0.13909304
205220_at,0.13909039
206295_at,0.13899836
219667_s_at,0.13899526
235568_at,0.13894692
226878_at,0.13872656
216984_x_at,0.1387069
235816_s_at,0.13870637
200923_at,0.13867028
227038_at,0.13863806
201005_at,0.13860238
211030_s_at,0.13831888
204430_s_at,0.13826765
214769_at,0.13824172
223502_s_at,0.13821505
205453_at,0.13816917
202948_at,0.13810313
210504_at,0.13808292
210140_at,0.13804942
200660_at,0.13792363
212372_at,0.13780989
223204_at,0.13779043
221766_s_at,0.13774183
211650_x_at,0.13768065
1554406_a_at,0.13764484
227889_at,0.1375834
202552_s_at,0.13755932
207134_x_at,0.13744745
235079_at,0.13737915
205863_at,0.13728753
226818_at,0.1371844
216474_x_at,0.13706571
236216_at,0.13701487
236995_x_at,0.13677116
208268_at,0.13660485
222771_s_at,0.13657615
230986_at,0.13653547
204115_at,0.13652113
243882_at,0.136515
210473_s_at,0.13650373
208450_at,0.13648094
208949_s_at,0.13648057
204150_at,0.1364626
221558_s_at,0.13625571
217762_s_at,0.13619672
212386_at,0.13614991
213674_x_at,0.13603258
202555_s_at,0.13594738
205933_at,0.13592029
211149_at,0.13563477
203828_s_at,0.13539965
221802_s_at,0.1353399
219666_at,0.13527866
205390_s_at,0.13521563
228766_at,0.13521297
