sample,hclust_cluster,kmeans_cluster,cluster_consensus
GSM329407,3,2,0.47480350732803345
GSM329408,3,3,0.4829641878604889
GSM329409,3,3,0.4647217392921448
GSM329410,3,3,0.5059067606925964
GSM329411,5,4,0.9321972131729126
GSM329412,3,4,0.27137646079063416
GSM329413,5,4,0.932646632194519
GSM329414,3,4,0.3699305057525635
GSM329415,3,1,0.4178728461265564
GSM329416,5,4,0.9358456134796143
GSM329417,3,2,0.4788126051425934
GSM329418,3,3,0.4230223596096039
GSM329419,5,4,0.928165078163147
GSM329420,3,3,0.9624224901199341
GSM329421,3,3,0.9620938301086426
GSM329422,3,3,0.9613178372383118
GSM329423,3,3,0.9648164510726929
GSM329424,3,3,0.9647167325019836
GSM329425,3,3,0.9627422094345093
GSM329426,3,3,0.9647046327590942
GSM329427,3,3,0.9580853581428528
GSM329428,3,3,0.9625861048698425
GSM329429,3,3,0.9631962180137634
GSM329430,3,3,0.9640001654624939
GSM329431,3,3,0.9607799053192139
GSM329432,3,3,0.9590809345245361
GSM329433,3,3,0.9618070721626282
GSM329434,3,3,0.9650825262069702
GSM329435,3,3,0.9650418758392334
GSM329436,3,3,0.9618656635284424
GSM329437,3,3,0.9619256258010864
GSM329438,3,3,0.966605544090271
GSM329439,3,3,0.964577853679657
GSM329440,3,3,0.9620301127433777
GSM329441,3,3,0.9638952612876892
GSM329442,3,3,0.9596294164657593
GSM329443,3,3,0.798367977142334
GSM329444,3,3,0.910459578037262
GSM329445,3,3,0.9642205238342285
GSM329446,3,3,0.9644805192947388
GSM329447,3,3,0.8581427335739136
GSM329448,3,3,0.9620530605316162
GSM329449,3,3,0.9597671031951904
GSM329450,3,3,0.9664152264595032
GSM329451,3,3,0.9650726914405823
GSM329452,3,3,0.9679685235023499
GSM329453,3,3,0.9634271860122681
GSM329454,3,3,0.961598813533783
GSM329455,3,3,0.9609057903289795
GSM329456,3,3,0.9621209502220154
GSM329457,3,3,0.9636785984039307
GSM329458,3,3,0.9626945853233337
GSM329459,3,3,0.6993383765220642
GSM329460,3,3,0.9633238911628723
GSM329461,3,3,0.9632139801979065
GSM329462,3,3,0.9597294330596924
GSM329463,3,3,0.9596216082572937
GSM329464,3,3,0.9617362022399902
GSM329465,3,3,0.8517665863037109
GSM329466,4,1,0.7114611268043518
GSM329467,3,3,0.9657062888145447
GSM329468,3,3,0.9641261100769043
GSM329469,3,3,0.9674215912818909
GSM329470,3,3,0.9638237953186035
GSM329471,3,3,0.9621541500091553
GSM329472,3,3,0.9626509547233582
GSM329473,3,3,0.9602404236793518
GSM329474,3,3,0.9620810151100159
GSM329475,3,3,0.9645845890045166
GSM329476,3,3,0.9618542194366455
GSM329477,3,3,0.965146541595459
GSM329478,3,3,0.9635558128356934
GSM329479,3,3,0.96250319480896
GSM329480,3,3,0.9615762233734131
GSM329481,3,3,0.964143693447113
GSM329482,3,3,0.9632240533828735
GSM329483,3,3,0.9631600379943848
GSM329484,3,3,0.9614911079406738
GSM329485,3,3,0.9611709117889404
GSM329486,3,3,0.9595050811767578
GSM329487,3,3,0.9639809131622314
GSM329488,3,3,0.9605206251144409
GSM329489,3,3,0.9628790616989136
GSM329490,3,3,0.9610843062400818
GSM329491,3,3,0.9611908197402954
GSM329716,3,3,0.9648668766021729
GSM329717,3,3,0.9610835313796997
GSM329718,3,3,0.9619847536087036
GSM329719,3,3,0.9624799489974976
GSM329720,3,3,0.9665687084197998
GSM329721,3,3,0.9599450826644897
GSM329722,3,3,0.9623132348060608
GSM329723,3,3,0.961131751537323
GSM329724,3,3,0.9614795446395874
GSM329725,3,3,0.9635839462280273
GSM329726,3,3,0.9594579935073853
GSM329727,3,3,0.9656389355659485
GSM329728,3,3,0.8695627450942993
GSM329729,3,1,0.4063751995563507
GSM329730,3,3,0.7623258233070374
GSM329731,3,3,0.9639543294906616
GSM329732,3,3,0.9587031602859497
GSM329733,3,3,0.962340235710144
GSM329734,3,3,0.9662975668907166
GSM329735,3,3,0.9640436768531799
GSM329736,3,3,0.9643051624298096
GSM329737,3,1,0.4945138096809387
GSM329738,3,3,0.9609830975532532
GSM329739,3,3,0.7957234978675842
GSM329740,3,3,0.962922990322113
GSM329741,3,3,0.8943568468093872
GSM329742,3,4,0.4385160207748413
GSM329743,3,3,0.9617141485214233
GSM329744,3,3,0.9586841464042664
GSM329745,3,3,0.9674422144889832
GSM329746,3,3,0.9629482626914978
GSM329747,3,3,0.9593536853790283
GSM329748,3,3,0.961240828037262
GSM329749,3,3,0.9640723466873169
GSM329750,3,3,0.9666017889976501
GSM329751,3,3,0.963371217250824
GSM329752,3,3,0.9647551774978638
GSM329753,3,3,0.8994001150131226
GSM329754,3,3,0.9637044072151184
GSM329755,3,3,0.9632023572921753
GSM329756,3,3,0.9629095792770386
GSM329757,3,3,0.9619269371032715
GSM329758,3,3,0.9075942635536194
GSM329759,3,3,0.9108104109764099
GSM329760,3,3,0.9682115912437439
GSM329761,3,3,0.9647456407546997
GSM329762,3,3,0.9625541567802429
GSM329763,3,3,0.9641599655151367
GSM329764,3,3,0.9615893959999084
GSM329765,3,3,0.963899552822113
GSM329766,3,3,0.9080168008804321
GSM329767,3,3,0.9628390073776245
GSM329768,3,3,0.9625370502471924
GSM329769,3,3,0.9605921506881714
GSM329770,3,3,0.9632138013839722
GSM329771,3,1,0.4880780577659607
GSM329772,3,3,0.9610098600387573
GSM329773,3,3,0.9629036784172058
GSM329774,3,3,0.8912709951400757
GSM329775,3,3,0.9633076190948486
GSM329776,3,3,0.9624702334403992
GSM329777,3,3,0.9639482498168945
GSM329778,3,3,0.966929018497467
GSM329779,3,3,0.961987316608429
GSM329780,3,3,0.9096340537071228
GSM329781,3,3,0.9610293507575989
GSM329782,3,3,0.9600821733474731
GSM329783,3,3,0.9633529782295227
GSM329784,3,1,0.38414135575294495
GSM329785,3,3,0.9648785591125488
GSM329786,3,3,0.9636660814285278
GSM329787,3,3,0.9605783820152283
GSM329788,3,3,0.9612752199172974
GSM329789,3,3,0.963492214679718
GSM329790,3,3,0.9621029496192932
GSM329791,3,3,0.9660789966583252
GSM329792,3,3,0.9639785289764404
GSM329793,5,4,0.8828049898147583
GSM329794,3,3,0.9617167115211487
GSM329795,3,3,0.9628282785415649
GSM329796,3,3,0.9653081297874451
GSM329797,3,3,0.9614515900611877
GSM329798,3,3,0.9625712037086487
GSM329799,3,3,0.9679756164550781
GSM329800,3,3,0.9654108285903931
GSM329801,3,3,0.9611908197402954
GSM329802,3,3,0.9625201225280762
GSM329803,3,3,0.9637125730514526
GSM329804,3,3,0.963408887386322
GSM329805,3,3,0.9594753384590149
GSM329806,3,3,0.9610503911972046
GSM329807,3,3,0.9605206251144409
GSM329808,3,4,0.3446851968765259
GSM329809,3,3,0.9620528221130371
GSM329810,3,3,0.9610466957092285
GSM329811,3,3,0.9617583751678467
GSM329812,3,3,0.9617635011672974
GSM329813,3,3,0.9624044895172119
GSM329814,3,3,0.9601359963417053
GSM329815,3,3,0.9619954228401184
GSM329816,3,3,0.9610846042633057
GSM329817,3,3,0.7464455962181091
GSM329818,3,3,0.9630618691444397
GSM329819,3,3,0.9600774645805359
GSM329820,3,1,0.9612827301025391
GSM329821,3,3,0.6710079312324524
GSM329822,3,3,0.9654943346977234
GSM329823,3,3,0.962352991104126
GSM329824,3,3,0.9627850651741028
GSM329825,3,3,0.9593578577041626
GSM329826,5,1,0.4813038408756256
GSM329827,3,3,0.960887610912323
GSM329828,3,3,0.959689199924469
GSM329829,3,3,0.9614998698234558
GSM329830,3,3,0.9660879969596863
GSM329831,3,3,0.962809145450592
GSM329832,3,3,0.9631834030151367
GSM329833,3,3,0.9629047513008118
GSM329834,3,3,0.9648756384849548
GSM329835,3,3,0.9641836881637573
GSM329836,2,5,0.8709740042686462
GSM329837,2,5,0.8373584151268005
GSM329838,2,5,0.30444180965423584
GSM329839,2,5,0.8556505441665649
GSM329840,2,5,0.8138151168823242
GSM329841,2,5,0.8632292151451111
GSM329842,2,5,0.8512997031211853
GSM329843,2,5,0.800489068031311
GSM329844,2,5,0.7266900539398193
GSM329845,2,5,0.42651718854904175
GSM329846,2,5,0.5858179330825806
GSM329847,2,5,0.5292808413505554
GSM329848,2,5,0.8344409465789795
GSM329849,2,5,0.8756315112113953
GSM329850,2,5,0.877570629119873
GSM329851,2,5,0.8670832514762878
GSM329852,2,5,0.864932119846344
GSM329853,2,5,0.8407966494560242
GSM329854,2,5,0.3753841817378998
GSM329855,2,5,0.8489691019058228
GSM329856,2,5,0.8408941030502319
GSM329857,2,5,0.8377028703689575
GSM329858,2,5,0.8433950543403625
GSM329859,2,5,0.8154211044311523
GSM329860,2,5,0.858981192111969
GSM329861,2,5,0.8372759222984314
GSM329862,2,5,0.866864800453186
GSM329863,2,5,0.466274619102478
GSM329864,2,5,0.4088122248649597
GSM329865,2,5,0.8302768468856812
GSM329866,2,5,0.8462511301040649
GSM329867,2,5,0.8398080468177795
GSM329868,2,5,0.8604629635810852
GSM329869,2,5,0.8769891262054443
GSM329870,2,5,0.8415728211402893
GSM329871,2,5,0.8499227166175842
GSM329872,2,5,0.8735751509666443
GSM329873,2,5,0.8378337025642395
GSM329874,2,5,0.8310001492500305
GSM329875,2,5,0.8555195927619934
GSM329876,2,5,0.8387854695320129
GSM329877,2,5,0.8468703627586365
GSM329878,5,4,0.933888852596283
GSM329879,2,5,0.8517179489135742
GSM329880,2,5,0.8495191335678101
GSM329881,2,5,0.870428204536438
GSM329882,2,5,0.33787378668785095
GSM329883,2,5,0.5661481618881226
GSM329884,2,5,0.39796262979507446
GSM329885,2,5,0.8576244115829468
GSM329886,2,5,0.8479573130607605
GSM329887,2,5,0.8486261963844299
GSM329888,2,5,0.8207128047943115
GSM329889,2,5,0.8220152854919434
GSM329890,2,5,0.7660002112388611
GSM329891,2,5,0.8467037081718445
GSM329892,2,5,0.813431978225708
GSM329893,5,4,0.8062134981155396
GSM329894,2,5,0.8534497618675232
GSM329895,2,5,0.830767035484314
GSM329896,2,5,0.8087854385375977
GSM329897,2,5,0.8519959449768066
GSM329898,2,5,0.4863027036190033
GSM329899,2,5,0.5868645310401917
GSM329900,2,5,0.8384034037590027
GSM329901,5,4,0.9396997690200806
