sample,cluster
GSM329410,3
GSM329419,5
GSM329421,3
GSM329428,3
GSM329435,3
GSM329442,3
GSM329449,3
GSM329456,3
GSM329463,3
GSM329466,4
GSM329471,3
GSM329478,3
GSM329485,3
GSM329716,3
GSM329723,3
GSM329730,3
GSM329737,3
GSM329744,3
GSM329751,3
GSM329758,3
GSM329765,3
GSM329772,3
GSM329779,3
GSM329786,3
GSM329794,3
GSM329801,3
GSM329808,3
GSM329815,3
GSM329822,3
GSM329830,3
GSM329841,2
GSM329848,2
GSM329855,2
GSM329862,2
GSM329869,2
GSM329876,2
GSM329884,2
GSM329891,2
GSM329899,2
GSM329907,2
GSM329914,2
GSM329923,2
GSM329931,2
GSM329939,2
GSM329941,3
GSM329947,2
GSM329950,5
GSM329955,2
GSM329962,2
GSM329969,2
GSM329976,2
GSM329983,2
GSM329990,2
GSM329997,2
GSM330004,2
GSM330016,3
GSM330023,3
GSM330031,3
GSM330038,3
GSM330045,3
GSM330052,3
GSM330059,3
GSM330066,3
GSM330073,3
GSM330080,3
GSM330087,3
GSM330094,3
GSM330101,3
GSM330108,3
GSM330115,3
GSM330122,3
GSM330129,3
GSM330136,3
GSM330143,3
GSM330150,3
GSM330157,3
GSM330165,3
GSM330172,1
GSM330173,3
GSM330180,3
GSM330187,3
GSM330194,3
GSM330201,3
GSM330208,3
GSM330215,3
GSM330222,3
GSM330230,3
GSM330237,3
GSM330245,3
GSM330252,3
GSM330260,3
GSM330267,3
GSM330274,3
GSM330281,3
GSM330288,3
GSM330295,3
GSM330302,3
GSM330309,3
GSM330322,3
GSM330329,3
GSM330335,2
GSM330337,3
GSM330344,3
GSM330351,3
GSM330358,3
GSM330365,3
GSM330372,3
GSM330379,3
GSM330391,4
GSM330400,4
GSM330407,5
GSM330409,4
GSM330419,4
GSM330426,4
GSM330433,4
GSM330441,4
GSM330449,4
GSM330456,4
GSM330463,4
GSM330471,4
GSM330478,4
GSM330485,4
GSM330493,4
GSM330496,5
GSM330501,4
GSM330508,3
GSM330509,4
GSM330516,4
GSM330528,4
GSM330538,4
GSM330545,4
GSM330548,5
GSM330555,4
GSM330567,4
GSM330574,4
GSM330579,5
GSM330580,2
GSM330585,4
GSM330595,4
GSM330606,4
GSM330611,5
GSM330614,4
GSM330623,4
GSM330635,5
GSM330636,4
GSM330649,4
GSM330655,5
GSM330659,4
GSM330670,4
GSM330678,4
GSM330681,5
GSM330687,4
GSM330696,4
GSM330706,4
GSM330710,5
GSM330717,4
GSM330726,4
GSM330734,4
GSM330743,5
GSM330748,4
GSM330756,4
GSM330766,5
GSM330771,4
GSM330778,4
GSM330787,2
GSM330790,4
GSM330797,4
GSM330798,5
GSM330814,5
GSM330815,4
GSM330823,4
GSM330831,4
GSM330841,4
GSM330848,5
GSM330852,4
GSM330862,4
GSM330872,4
GSM330877,5
GSM330887,5
GSM330889,4
GSM330897,5
GSM330904,5
GSM330913,4
GSM330917,5
GSM330926,5
GSM330933,1
GSM330940,1
GSM330947,1
GSM330954,1
GSM330961,1
GSM330968,1
GSM330975,1
GSM330982,1
GSM330989,1
GSM330996,1
GSM331003,1
GSM331010,1
GSM331017,1
GSM331024,1
GSM331031,1
GSM331038,1
GSM331045,1
GSM331052,1
GSM331059,1
GSM331066,1
GSM331073,1
GSM331080,1
GSM331087,1
GSM331094,1
GSM331101,1
GSM331108,1
GSM331115,1
GSM331122,1
GSM331129,1
GSM331136,1
GSM331143,1
GSM331150,1
GSM331157,1
GSM331164,1
GSM331171,1
GSM331178,1
GSM331185,1
GSM331192,1
GSM331199,1
GSM331206,1
GSM331213,1
GSM331220,1
GSM331227,1
GSM331234,1
GSM331241,1
GSM331248,1
GSM331255,1
GSM331262,1
GSM331269,1
GSM331276,1
GSM331284,1
GSM331291,1
GSM331298,1
GSM331305,1
GSM331312,1
GSM331319,1
GSM331327,1
GSM331334,1
GSM331341,1
GSM331348,1
GSM331355,1
GSM331362,1
GSM331369,1
GSM331376,1
GSM331379,5
GSM331386,5
GSM331393,5
GSM331400,5
GSM331407,5
GSM331414,5
GSM331421,5
GSM331428,5
GSM331435,5
GSM331443,5
GSM331450,5
GSM331457,5
GSM331464,5
GSM331471,5
GSM331478,5
GSM331485,5
GSM331492,5
GSM331499,5
GSM331506,5
GSM331513,5
GSM331520,5
GSM331527,5
GSM331534,5
GSM331541,5
GSM331548,5
GSM331555,5
GSM331562,5
GSM331569,5
GSM331576,5
GSM331583,5
GSM331590,5
GSM331597,5
GSM331604,5
GSM331611,5
GSM331618,5
GSM331625,5
GSM331632,5
GSM331639,5
GSM331646,5
GSM331653,5
GSM331660,5
GSM331668,5
GSM331675,5
GSM331682,5
GSM331689,5
GSM331696,5
GSM331703,5
GSM331710,5
GSM331717,5
GSM331724,5
GSM331732,5
