k,n_clusters_realised,silhouette
2,2,0.17841534595221134
3,3,0.19496923943929048
4,4,0.15633513508163693
5,5,0.16228486604983808
6,6,0.1435047290062564
7,7,0.11107622644301102
8,8,0.06690963755602311
9,9,0.06588861685970392
10,10,0.06618565566932992
11,11,0.06869124209346802
12,12,0.07035817146694333
13,13,0.0700652596375505
14,14,0.06562818448557976
15,15,0.06581099609650613
16,16,0.06396926730837796
17,17,0.06241166499919229
18,18,0.06464640597117409
19,19,0.06503422894788823
20,20,0.06163927734012184
