pc,variance_explained,cumulative
1,0.21310531322814477,0.21310531322814477
2,0.1288983020825067,0.3420036153106515
3,0.06253925444775073,0.4045428697584022
4,0.044425263006210254,0.44896813276461245
5,0.03585858970570315,0.4848267224703156
6,0.03187514584482826,0.5167018683151439
7,0.018819104768515314,0.5355209730836592
8,0.01778519561515318,0.5533061686988123
9,0.012868395080203758,0.5661745637790161
10,0.01236369433525153,0.5785382581142676
11,0.010086922960411259,0.5886251810746789
12,0.009521580506630902,0.5981467615813097
13,0.008306688822067537,0.6064534504033773
14,0.007159631392381316,0.6136130817957586
15,0.006492759767230275,0.6201058415629889
16,0.006281672131812278,0.6263875136948012
17,0.0057980412777531186,0.6321855549725542
18,0.0056948764908386785,0.6378804314633929
19,0.005215933812367055,0.64309636527576
20,0.004909946237981817,0.6480063115137418
21,0.004544889939239147,0.652551201452981
22,0.004443155495946467,0.6569943569489274
23,0.004197440355105132,0.6611917973040325
24,0.004100145538879381,0.6652919428429119
25,0.0037261972467020578,0.669018140089614
26,0.003578330141245125,0.6725964702308591
27,0.003342245250033154,0.6759387154808922
28,0.0031513663971893236,0.6790900818780815
29,0.0030448098672590743,0.6821348917453406
30,0.0029268460907294278,0.68506173783607
31,0.002873034201781618,0.6879347720378517
32,0.0027577047401470016,0.6906924767779987
33,0.0025730050860551077,0.6932654818640538
34,0.0024663924210731186,0.695731874285127
35,0.0023276871319719153,0.6980595614170989
36,0.0022837040817123805,0.7003432654988113
37,0.002224447735939682,0.702567713234751
38,0.002197541842275855,0.7047652550770268
39,0.0021106651439187127,0.7068759202209455
40,0.0020489769331397843,0.7089248971540852
41,0.0019211218024899575,0.7108460189565752
42,0.001895082642961131,0.7127411015995363
43,0.0018359552861083204,0.7145770568856447
44,0.0017569933598054286,0.71633405024545
45,0.0017264587628330573,0.7180605090082831
46,0.0016169044827843621,0.7196774134910675
47,0.00157689066416069,0.7212543041552282
48,0.001509206619610118,0.7227635107748382
49,0.00146627433571619,0.7242297851105545
50,0.0014156815671014075,0.7256454666776558
