gene,representative_probe,n_probes_for_gene,mean_expression
HFE,206087_x_at,15,0.35087514
CD44,212063_at,13,0.7568687
CFLAR,209939_x_at,13,0.63206685
DNAH1,228111_s_at,13,0.44271678
ARHGEF12,201334_s_at,13,0.47919175
GNAS,200780_x_at,12,0.87361515
ZBTB20,205383_s_at,12,0.49046716
TCF3,209153_s_at,12,0.67597526
MAGI1,215372_x_at,12,0.3732303
ARL17A,229028_s_at,12,0.45292142
SPTBN1,212071_s_at,11,0.7199877
FGFR2,208229_at,11,0.16342272
OFCC1,1565027_at,11,0.3109629
KMT2A,212080_at,11,0.5111277
RUNX1,209360_s_at,11,0.54187894
AKAP13,221718_s_at,11,0.6362849
NRP2,1555468_at,11,0.26936355
PAPPA,201982_s_at,11,0.19704352
SLC8A1,235518_at,11,0.24468283
CALD1,212077_at,11,0.22877626
IGHA1,214916_x_at,11,0.47897896
IGHG1,228518_at,11,0.32785407
PDE4DIP,214129_at,10,0.32445872
IDS,212221_x_at,10,0.5911149
DLEU2,1556821_x_at,10,0.43873116
MDM2,229711_s_at,10,0.6027221
MSI2,225240_s_at,10,0.63433325
PML,211012_s_at,10,0.4530233
IGKC,224795_x_at,10,0.76863545
QKI,212265_at,10,0.70709735
HIPK2,225368_at,10,0.5237823
RGS12,242079_at,10,0.302471
PDLIM5,212412_at,10,0.43361357
STRN,230734_x_at,10,0.49715003
NF1,212676_at,10,0.45725638
DST,215810_x_at,10,0.25400764
PTGER3,210374_x_at,10,0.25925803
MEG3,229557_at,10,0.2496377
ERICH1,227016_at,10,0.55285305
SLC25A37,226179_at,10,0.62502754
TRIO,209012_at,9,0.39405045
PBRM1,223238_s_at,9,0.6072969
PIK3C2A,213070_at,9,0.553174
DCAF8,202250_s_at,9,0.4969378
GART,212378_at,9,0.43583632
ZDHHC21,229240_at,9,0.35266787
ARHGEF7,202548_s_at,9,0.6104365
NAV1,224772_at,9,0.39914033
EGFR,211551_at,9,0.25693062
GOSR2,235041_at,9,0.41766056
MED28,228992_at,9,0.6287446
ESR1,211234_x_at,9,0.21610507
ACTG1,224585_x_at,9,0.8678472
PTBP1,216306_x_at,9,0.7423416
SOBP,218974_at,9,0.26657796
RIF1,236620_at,9,0.53075045
