gene_a,gene_b,r,sign
ADAM28,DNTT,-0.7136,negative
ADAM28,ERG,-0.731,negative
ADAM28,RASGRP3,0.7734,positive
ADAM28,SCRN1,0.7193,positive
ADGRA3,ERG,0.717,positive
AFF3,AZU1,-0.7037,negative
AFF3,BACH2,0.7501,positive
AFF3,BCAS4,0.7848,positive
AFF3,BLK,0.7765,positive
AFF3,BLNK,0.7562,positive
AFF3,CD19,0.7277,positive
AFF3,CD22,0.7347,positive
AFF3,CD79A,0.7696,positive
AFF3,CD79B,0.7236,positive
AFF3,HLA-DOA,0.7119,positive
AFF3,IFNLR1,0.7011,positive
AFF3,MICALL2,-0.7119,negative
AFF3,MSRB3,-0.7019,negative
AFF3,NIBAN3,0.8056,positive
AFF3,PAX5,0.7714,positive
AFF3,POU2AF1,0.7477,positive
AFF3,TCF4,0.7003,positive
AHSP,ALAS2,0.9326,positive
AHSP,ARG1,0.7473,positive
AHSP,CA1,0.9558,positive
AHSP,CA2,0.8416,positive
AHSP,EPB42,0.9549,positive
AHSP,FHL2,0.7769,positive
AHSP,GFI1B,0.7127,positive
AHSP,GYPA,0.9415,positive
AHSP,HBG1,0.816,positive
AHSP,HBM,0.9487,positive
AHSP,HBQ1,0.8518,positive
AHSP,HEMGN,0.8869,positive
AHSP,KLF1,0.9096,positive
AHSP,RHAG,0.9127,positive
AHSP,RHCE,0.9042,positive
AHSP,RHD,0.8689,positive
AHSP,RIPOR3,0.8456,positive
AHSP,SELENBP1,0.928,positive
AHSP,SLC22A4,0.7023,positive
AHSP,SLC4A1,0.9633,positive
AHSP,SNCA,0.8604,positive
AHSP,SPTA1,0.7967,positive
AHSP,TNS1,0.7993,positive
AHSP,TRIM58,0.79,positive
AHSP,XK,0.8828,positive
ALAS2,CA1,0.9035,positive
ALAS2,CA2,0.7958,positive
ALAS2,EPB42,0.9499,positive
ALAS2,FHL2,0.7122,positive
ALAS2,GYPA,0.8966,positive
ALAS2,HBG1,0.837,positive
ALAS2,HBM,0.9328,positive
ALAS2,HBQ1,0.8732,positive
ALAS2,HEMGN,0.8543,positive
ALAS2,KLF1,0.8613,positive
ALAS2,RHAG,0.8391,positive
ALAS2,RHCE,0.8547,positive
ALAS2,RHD,0.8323,positive
ALAS2,RIPOR3,0.8001,positive
ALAS2,SELENBP1,0.9477,positive
ALAS2,SLC4A1,0.9381,positive
ALAS2,SNCA,0.881,positive
ALAS2,SPTA1,0.726,positive
ALAS2,TNS1,0.7769,positive
ALAS2,TRIM58,0.8394,positive
ALAS2,XK,0.8654,positive
ANXA3,ARG1,0.9287,positive
ANXA3,AZU1,0.8102,positive
ANXA3,BEX1,0.7664,positive
ANXA3,BPI,0.9161,positive
ANXA3,CAMP,0.8877,positive
ANXA3,CDA,0.8268,positive
ANXA3,CEACAM6,0.8741,positive
ANXA3,CEACAM8,0.9426,positive
ANXA3,CHI3L1,0.8781,positive
ANXA3,CLC,0.8578,positive
ANXA3,CLEC5A,0.7942,positive
ANXA3,CRISP3,0.8701,positive
ANXA3,CST7,0.7365,positive
ANXA3,CTSG,0.8307,positive
ANXA3,CYP4F3,0.8837,positive
ANXA3,DEFA4,0.9103,positive
ANXA3,ELANE,0.8458,positive
ANXA3,FCAR,0.7517,positive
ANXA3,FOLR3,0.7449,positive
ANXA3,GJB6,0.7118,positive
ANXA3,HK3,0.7174,positive
ANXA3,HP,0.9076,positive
ANXA3,HPR,0.9099,positive
ANXA3,LCN2,0.8822,positive
ANXA3,LTF,0.8787,positive
ANXA3,MCEMP1,0.8104,positive
ANXA3,MGAM,0.8937,positive
ANXA3,MMP8,0.9403,positive
ANXA3,MMP9,0.8921,positive
ANXA3,MPO,0.7475,positive
ANXA3,MS4A3,0.8641,positive
ANXA3,OLFM4,0.845,positive
ANXA3,ORM1,0.8418,positive
ANXA3,P2RY13,0.7396,positive
ANXA3,PADI4,0.855,positive
ANXA3,PGLYRP1,0.9352,positive
ANXA3,PRG2,0.8011,positive
ANXA3,PRTN3,0.8554,positive
