gene_a,gene_b,r,sign
AHSP,ALAS2,0.8887,positive
AHSP,CA1,0.9151,positive
AHSP,CA2,0.7101,positive
AHSP,EPB42,0.9129,positive
AHSP,GYPA,0.8715,positive
AHSP,HBM,0.9099,positive
AHSP,HBQ1,0.7714,positive
AHSP,HEMGN,0.7781,positive
AHSP,KLF1,0.8172,positive
AHSP,RHAG,0.8052,positive
AHSP,RHCE,0.7982,positive
AHSP,RHD,0.7619,positive
AHSP,SELENBP1,0.8716,positive
AHSP,SLC4A1,0.929,positive
AHSP,SNCA,0.7512,positive
AHSP,XK,0.7842,positive
ALAS2,CA1,0.8603,positive
ALAS2,EPB42,0.9167,positive
ALAS2,GYPA,0.8082,positive
ALAS2,HBG1,0.7673,positive
ALAS2,HBM,0.9077,positive
ALAS2,HBQ1,0.8101,positive
ALAS2,HEMGN,0.7636,positive
ALAS2,KLF1,0.7567,positive
ALAS2,RHCE,0.7184,positive
ALAS2,SELENBP1,0.9185,positive
ALAS2,SLC4A1,0.9138,positive
ALAS2,SNCA,0.8223,positive
ALAS2,TRIM58,0.7699,positive
ALAS2,XK,0.7671,positive
ANXA3,ARG1,0.8185,positive
ANXA3,BPI,0.8166,positive
ANXA3,CAMP,0.7951,positive
ANXA3,CDA,0.7355,positive
ANXA3,CEACAM6,0.7235,positive
ANXA3,CEACAM8,0.8784,positive
ANXA3,CHI3L1,0.7432,positive
ANXA3,CLC,0.7201,positive
ANXA3,CRISP3,0.7493,positive
ANXA3,CYP4F3,0.7878,positive
ANXA3,DEFA4,0.8089,positive
ANXA3,HP,0.7904,positive
ANXA3,HPR,0.8006,positive
ANXA3,LCN2,0.7783,positive
ANXA3,LTF,0.797,positive
ANXA3,MGAM,0.8034,positive
ANXA3,MMP8,0.8709,positive
ANXA3,MMP9,0.7971,positive
ANXA3,MS4A3,0.7583,positive
ANXA3,OLFM4,0.7223,positive
ANXA3,ORM1,0.7189,positive
ANXA3,PGLYRP1,0.8684,positive
ANXA3,QPCT,0.7114,positive
ANXA3,RGL4,0.7274,positive
ANXA3,RNASE3,0.7008,positive
ANXA3,S100A12,0.7276,positive
ANXA3,S100P,0.7731,positive
ANXA3,SLPI,0.7456,positive
ANXA3,TCN1,0.8309,positive
AQP9,C5AR1,0.8011,positive
AQP9,FPR1,0.7991,positive
ARG1,BPI,0.7761,positive
ARG1,CAMP,0.7434,positive
ARG1,CEACAM8,0.8243,positive
ARG1,CHI3L1,0.7103,positive
ARG1,CRISP3,0.7275,positive
ARG1,CYP4F3,0.7691,positive
ARG1,DEFA4,0.7259,positive
ARG1,HP,0.7125,positive
ARG1,HPR,0.7284,positive
ARG1,LCN2,0.7596,positive
ARG1,LTF,0.7671,positive
ARG1,MGAM,0.7242,positive
ARG1,MMP8,0.8118,positive
ARG1,MMP9,0.7796,positive
ARG1,ORM1,0.7158,positive
ARG1,PGLYRP1,0.8106,positive
ARG1,S100P,0.7101,positive
ARG1,TCN1,0.756,positive
AZU1,BPI,0.729,positive
AZU1,CTSG,0.7951,positive
AZU1,ELANE,0.8667,positive
AZU1,MS4A3,0.7767,positive
AZU1,PRTN3,0.7869,positive
AZU1,RNASE2,0.7404,positive
AZU1,RNASE3,0.7823,positive
BEX3,TCEAL9,0.7071,positive
BPI,CAMP,0.7733,positive
BPI,CDA,0.7638,positive
BPI,CEACAM6,0.7214,positive
BPI,CEACAM8,0.8948,positive
BPI,CHI3L1,0.7114,positive
BPI,CRISP3,0.7187,positive
BPI,CYP4F3,0.7046,positive
BPI,DEFA4,0.8446,positive
BPI,ELANE,0.7373,positive
BPI,HP,0.763,positive
BPI,HPR,0.7574,positive
BPI,LCN2,0.7679,positive
BPI,LTF,0.7972,positive
BPI,MGAM,0.7383,positive
BPI,MMP8,0.8287,positive
BPI,MMP9,0.7676,positive
BPI,MS4A3,0.7594,positive
BPI,PGLYRP1,0.8298,positive
BPI,RNASE3,0.7434,positive
BPI,S100A12,0.7368,positive
BPI,S100P,0.8029,positive
BPI,SLPI,0.7533,positive
BPI,TCN1,0.8031,positive
C5AR1,CDA,0.788,positive
C5AR1,CLEC7A,0.7368,positive
C5AR1,FCAR,0.7749,positive
C5AR1,FCN1,0.7688,positive
C5AR1,FPR1,0.8604,positive
C5AR1,G0S2,0.7298,positive
C5AR1,HK3,0.7052,positive
C5AR1,LILRA3,0.7104,positive
C5AR1,P2RY13,0.7095,positive
C5AR1,QPCT,0.7409,positive
C5AR1,S100A11,0.7096,positive
C5AR1,S100A12,0.7643,positive
CA1,CA2,0.7088,positive
CA1,EPB42,0.8803,positive
CA1,GYPA,0.8468,positive
CA1,HBG1,0.7077,positive
CA1,HBM,0.8967,positive
CA1,HBQ1,0.7234,positive
CA1,HEMGN,0.7331,positive
CA1,KLF1,0.7633,positive
CA1,RHAG,0.7802,positive
CA1,RHCE,0.7533,positive
CA1,RHD,0.7143,positive
CA1,SELENBP1,0.8405,positive
CA1,SLC4A1,0.9081,positive
CA1,SNCA,0.7247,positive
CA1,XK,0.7562,positive
CA2,EPB42,0.7008,positive
CA2,GYPA,0.718,positive
CA2,RHAG,0.7272,positive
CAMP,CDA,0.7055,positive
CAMP,CEACAM8,0.8571,positive
CAMP,CHI3L1,0.7811,positive
CAMP,CRISP3,0.8131,positive
CAMP,CYP4F3,0.7504,positive
CAMP,DEFA4,0.8017,positive
CAMP,HP,0.7624,positive
CAMP,HPR,0.7635,positive
CAMP,LCN2,0.8786,positive
CAMP,LTF,0.8568,positive
CAMP,MMP8,0.811,positive
CAMP,MMP9,0.8282,positive
CAMP,MS4A3,0.7134,positive
CAMP,OLFM4,0.7506,positive
CAMP,ORM1,0.7826,positive
CAMP,PGLYRP1,0.8583,positive
CAMP,S100A12,0.7471,positive
CAMP,S100P,0.7528,positive
CAMP,SLPI,0.7071,positive
CAMP,TCN1,0.8005,positive
CD14,CLEC7A,0.7579,positive
CD14,VCAN,0.7854,positive
CDA,CEACAM8,0.724,positive
CDA,CSTA,0.7544,positive
CDA,CYP4F3,0.7121,positive
CDA,FCAR,0.7689,positive
CDA,FCN1,0.7868,positive
CDA,FPR1,0.8026,positive
CDA,HK3,0.7921,positive
CDA,HP,0.7745,positive
CDA,HPR,0.7613,positive
CDA,MCEMP1,0.7652,positive
CDA,MGAM,0.7733,positive
CDA,MMP8,0.7227,positive
CDA,MMP9,0.7375,positive
CDA,P2RY13,0.735,positive
CDA,PADI4,0.7491,positive
CDA,PGLYRP1,0.7364,positive
CDA,PLBD1,0.7817,positive
CDA,QPCT,0.8126,positive
CDA,S100A12,0.8612,positive
CDA,S100P,0.7845,positive
CDA,TCN1,0.7054,positive
CEACAM6,CEACAM8,0.781,positive
CEACAM6,DEFA4,0.7233,positive
CEACAM6,MMP8,0.7089,positive
CEACAM6,PGLYRP1,0.7135,positive
CEACAM8,CHI3L1,0.7523,positive
CEACAM8,CLC,0.7257,positive
CEACAM8,CRISP3,0.8017,positive
CEACAM8,CYP4F3,0.7515,positive
CEACAM8,DEFA4,0.8946,positive
CEACAM8,ELANE,0.7458,positive
CEACAM8,HP,0.7814,positive
CEACAM8,HPR,0.7834,positive
CEACAM8,LCN2,0.8383,positive
CEACAM8,LTF,0.876,positive
CEACAM8,MGAM,0.7633,positive
CEACAM8,MMP8,0.8952,positive
CEACAM8,MMP9,0.8105,positive
CEACAM8,MS4A3,0.7833,positive
CEACAM8,OLFM4,0.7468,positive
CEACAM8,ORM1,0.7429,positive
CEACAM8,PGLYRP1,0.8909,positive
CEACAM8,RNASE3,0.7465,positive
CEACAM8,S100A12,0.7378,positive
CEACAM8,S100P,0.8005,positive
CEACAM8,SLPI,0.7421,positive
CEACAM8,TCN1,0.8651,positive
CFP,FCN1,0.7064,positive
CHI3L1,CRISP3,0.7135,positive
CHI3L1,CYP4F3,0.7293,positive
CHI3L1,HP,0.7011,positive
CHI3L1,LCN2,0.789,positive
CHI3L1,LTF,0.752,positive
CHI3L1,MMP8,0.7246,positive
CHI3L1,MMP9,0.7606,positive
CHI3L1,ORM1,0.7376,positive
CHI3L1,PGLYRP1,0.7689,positive
CHI3L1,S100P,0.7108,positive
CHI3L1,TCN1,0.7297,positive
CLC,MS4A3,0.7248,positive
CLC,PGLYRP1,0.7015,positive
CLC,RNASE3,0.7255,positive
CLC,TCN1,0.7135,positive
CLEC7A,FPR1,0.7033,positive
CRISP3,CYP4F3,0.7062,positive
CRISP3,DEFA4,0.7516,positive
CRISP3,HP,0.7028,positive
CRISP3,HPR,0.7023,positive
CRISP3,LCN2,0.7762,positive
CRISP3,LTF,0.7731,positive
CRISP3,MMP8,0.7776,positive
CRISP3,MMP9,0.7799,positive
CRISP3,OLFM4,0.7027,positive
CRISP3,ORM1,0.701,positive
CRISP3,PGLYRP1,0.7924,positive
CRISP3,TCN1,0.7544,positive
CSTA,FCN1,0.7962,positive
CSTA,HK3,0.7239,positive
CSTA,MNDA,0.7151,positive
CSTA,RNASE2,0.751,positive
CSTA,S100A12,0.7158,positive
CTSG,ELANE,0.7636,positive
CTSG,MS4A3,0.7069,positive
CTSG,PRTN3,0.7215,positive
CTSG,RNASE2,0.7304,positive
CTSG,RNASE3,0.778,positive
CXCL2,CXCL3,0.8277,positive
CYP4F3,HP,0.7284,positive
CYP4F3,HPR,0.7206,positive
CYP4F3,LCN2,0.7291,positive
CYP4F3,MGAM,0.7884,positive
CYP4F3,MMP8,0.7374,positive
CYP4F3,MMP9,0.8094,positive
CYP4F3,ORM1,0.7238,positive
CYP4F3,PADI4,0.7149,positive
CYP4F3,PGLYRP1,0.7685,positive
CYP4F3,TCN1,0.7062,positive
DEFA4,ELANE,0.7671,positive
DEFA4,HP,0.7102,positive
DEFA4,HPR,0.7194,positive
DEFA4,LCN2,0.7946,positive
DEFA4,LTF,0.8193,positive
DEFA4,MMP8,0.8398,positive
