gene,module,degree_global,degree_within,mad,mean_expression
RNASE2,6,75,7,0.16866326332092285,0.6534685352319525
SLC22A4,6,70,0,0.15022797882556915,0.3865229670665933
CDA,6,69,25,0.2005927860736847,0.41466835702844246
PYGL,6,68,0,0.14181412756443024,0.5241114270148216
VSTM1,6,65,0,0.1809849739074707,0.336608719034948
PADI4,6,64,7,0.1551709920167923,0.4592133734655946
MGAM,6,63,17,0.1942564845085144,0.3470229756353199
ARG1,6,63,19,0.20905263721942902,0.5055012270281241
AZU1,6,63,7,0.2500421404838562,0.5660085148294234
PRTN3,6,60,5,0.27407728880643845,0.46569365623793546
CTSG,6,59,6,0.2391289919614792,0.5821817175090626
RNASE3,6,59,13,0.2666449546813965,0.5188708395429545
CLEC5A,6,59,0,0.19214871153235435,0.3042625220308704
MS4A3,6,58,19,0.2403784543275833,0.5229782133345258
SLPI,6,58,14,0.1500200629234314,0.4349136725630174
MCEMP1,6,57,5,0.13894692063331604,0.5233366921124625
MGST1,6,56,0,0.21727455407381058,0.49680320671532935
RAB32,6,56,0,0.15608125925064087,0.5190905386685102
HPR,6,56,23,0.20778844505548477,0.3674869571503798
HP,6,56,24,0.1814507618546486,0.4192967214328491
TCN1,6,55,25,0.22719265520572662,0.43318916592428275
FCAR,6,53,5,0.16497954726219177,0.33118335069272375
ANXA3,6,53,29,0.22662939131259918,0.45739807795821136
ELANE,6,53,13,0.22659486532211304,0.5773963347699951
BPI,6,53,26,0.2364707589149475,0.5254599784564437
S100P,6,53,25,0.21755772829055786,0.5540236646258476
RETN,6,50,1,0.14719447493553162,0.4612397800185469
RGL4,6,49,2,0.13870635628700256,0.410237068066441
MSRB3,6,49,0,0.2571319565176964,0.3853709681914926
PGLYRP1,6,49,26,0.2610156983137131,0.42539231369794084
P2RY13,6,49,3,0.17179644107818604,0.33544024178989645
CLC,6,49,6,0.24732832610607147,0.5058048179725153
CEACAM8,6,48,28,0.29840271174907684,0.463505366101685
TACSTD2,6,48,0,0.14336977154016495,0.2974774245381758
PTX3,6,48,0,0.17488791793584824,0.44348661238834164
QPCT,6,48,12,0.14045650511980057,0.41202236163849365
MMP9,6,48,23,0.1738709956407547,0.5591522654063488
CST7,6,47,0,0.1380493938922882,0.6289351337752839
CSTA,6,47,6,0.15769991278648376,0.6209089410605036
RNASE2CP,6,46,1,0.18139442056417465,0.3688314508882705
MMP8,6,46,25,0.24046164751052856,0.5003286909884311
CHI3L1,6,46,16,0.19590750336647034,0.3978060507171126
ATP8B4,6,46,0,0.19662248343229294,0.3665686966078214
CYP4F3,6,45,18,0.15442423522472382,0.3572030765741544
CEACAM6,6,43,6,0.22104476392269135,0.47747460370510103
DEFA4,6,43,21,0.2501640021800995,0.5716414094488457
HK3,6,43,10,0.2053743153810501,0.38932236456061403
GPR27,6,43,1,0.16674548387527466,0.4381748194928914
S100A12,6,43,24,0.13728749752044678,0.6707671714203702
PRAM1,6,43,0,0.16106483340263367,0.4986501739159387
CD302,6,43,0,0.14760638773441315,0.5679753733361638
CAMP,6,43,23,0.26407019793987274,0.4865288072547331
CRISP3,6,41,18,0.25196399353444576,0.34942095241940535
ORM1,6,41,12,0.15958360582590103,0.353181234238427
MPO,6,41,1,0.17411160469055176,0.6127876405557973
PRG2,6,40,0,0.22487947344779968,0.5169941668529979
PRRG4,6,39,0,0.14762675762176514,0.37575203100088733
LCN2,6,39,20,0.2528102695941925,0.5275971479862769
BLK,6,38,0,0.26107772439718246,0.4462280509095599
DOCK5,6,37,0,0.14736473560333252,0.3917565086686749
LTF,6,37,19,0.20775507390499115,0.5606868378364193
CD79A,6,37,0,0.19188299775123596,0.5783668208426533
FPR1,6,36,13,0.14797638356685638,0.5220010546053838
BCAS4,6,35,0,0.15214049071073532,0.39009033957849976
OLFM4,6,34,10,0.2177950143814087,0.3537154345002691
PAX5,6,34,0,0.23947405815124512,0.5652621614098912
PROK2,6,33,1,0.20703473687171936,0.42508031726629963
S100A11,6,33,4,0.13792365789413452,0.5879488327000147
FOLR3,6,33,0,0.13330640643835068,0.3236599208767835
POU2AF1,6,32,0,0.19471079111099243,0.5605995788573082
C3AR1,6,32,0,0.14755713939666748,0.45659098113337815
CFP,6,30,1,0.14423112571239471,0.5046221817921677
MICALL2,6,30,0,0.14857478439807892,0.3165506788313893
NIBAN3,6,29,0,0.21177776157855988,0.513230204828375
KLF1,6,29,15,0.13808289915323257,0.4110618830073753
CPA3,6,28,0,0.18307380378246307,0.39601022169597044
XK,6,28,15,0.1633543074131012,0.353601324054259
MNDA,6,28,1,0.14351105690002441,0.6038634998590342
CD22,6,28,0,0.17714298516511917,0.43786720279870794
CD19,6,28,0,0.21369308233261108,0.5418076534179672
NFE2,6,28,0,0.16255585849285126,0.4326769274520378
RHAG,6,28,14,0.2101464867591858,0.3870736924680836
C5AR1,6,28,13,0.15562275052070618,0.5095873380911657
BEX1,6,28,0,0.15839561820030212,0.4341378533005899
CLEC12A,6,27,0,0.16349229216575623,0.448914926364051
CFD,6,26,0,0.19095438718795776,0.5391070572232813
CA2,6,26,5,0.1694793701171875,0.5651065526278654
RIPOR3,6,25,6,0.1403326913714409,0.33328736925902885
SELENBP1,6,25,17,0.20261150598526,0.3886704125495429
RHCE,6,25,14,0.1645490601658821,0.33579847094927895
BACH2,6,25,0,0.16316448152065277,0.43251503067202635
AHSP,6,25,16,0.21576936542987823,0.5466482457966999
EPB42,6,25,19,0.22428739070892334,0.394769515338337
GYPA,6,25,17,0.21738603711128235,0.3870287168863847
HEMGN,6,24,15,0.1535487025976181,0.4093715935053137
TNFSF13B,6,24,0,0.1382150501012802,0.584378241438252
LGALS12,6,24,0,0.15367410704493523,0.2891409501113285
SNCA,6,24,12,0.1616787612438202,0.5396587797359498
RHD,6,24,12,0.14638452976942062,0.27033075812646656
SLC40A1,6,24,0,0.1623765230178833,0.4990144259036867
TRIM58,6,23,5,0.1565072387456894,0.4379948633940684
FCGR1BP,6,23,0,0.14050354808568954,0.3609038373778769
ID3,6,23,0,0.2699003368616104,0.44347503643597563
CA1,6,23,17,0.18593259155750275,0.6069631084661135
SLC4A1,6,23,16,0.20231828093528748,0.5528023616652509
FHL2,6,23,0,0.14644379168748856,0.27319047349013004
HBQ1,6,23,13,0.14666183292865753,0.23359003461006098
TNFRSF13C,6,22,0,0.15047647058963776,0.5516134595235397
TNS1,6,22,0,0.14329293370246887,0.4433607560939936
CD79B,6,22,0,0.1554991602897644,0.5484566922114721
BLNK,6,22,0,0.20902803540229797,0.5399620620814198
HBM,6,22,15,0.1956387162208557,0.5828424780442956
ALAS2,6,22,15,0.28621692955493927,0.4234654014869189
CD33,6,21,0,0.19735752791166306,0.36937925977666064
FCN1,6,21,10,0.15249037742614746,0.6320254205839836
TCL1A,6,21,0,0.23198819160461426,0.5061412768719277
SPTA1,6,20,0,0.16998431831598282,0.40630552897968275
TENT5A,6,20,0,0.1377418339252472,0.6162247163001875
ZC3H12D,6,20,0,0.1412692815065384,0.5268670932348917
VPREB3,6,20,0,0.21814574301242828,0.449429055012824
HLA-DOA,6,19,0,0.13872656226158142,0.5330606753162983
GFI1B,6,19,0,0.17779754474759102,0.2892183772657753
GJB6,6,19,0,0.1335734101012349,0.24672493563133338
TCF4,6,18,0,0.13614991307258606,0.6684637251949891
AFF3,6,17,0,0.14905664324760437,0.5089585098299333
CD72,6,17,0,0.1487775519490242,0.40420536817941694
TSPAN2,6,17,0,0.1338845044374466,0.3783091144309244
ZG16B,6,16,0,0.14342965185642242,0.23876231802224945
HBG1,6,16,6,0.15396156907081604,0.6210261030380623
VCAN,6,16,1,0.16721133887767792,0.520609152145179
AQP9,6,15,2,0.14855487644672394,0.40990037977329336
LGALS3,6,15,0,0.13648059964179993,0.6344037185287998
LEF1,6,15,0,0.13625571131706238,0.6065783132470163
GPAT3,6,15,0,0.1400386244058609,0.3293049035955809
IL18,6,14,0,0.1389983594417572,0.36600643105428127
KIT,6,14,0,0.1920234113931656,0.33523562527985057
CLEC7A,6,14,3,0.14535146951675415,0.4525062467155086
PLBD1,6,14,6,0.1629338413476944,0.5647058708331981
CD14,6,13,2,0.1643362045288086,0.4402242003337469
MS4A1,6,13,0,0.16439077258110046,0.5470935183822512
PTGS2,6,13,0,0.15527064353227615,0.39674773126665525
GASK1B,6,13,0,0.13779042661190033,0.3150673627925931
BANK1,6,13,0,0.13899526000022888,0.5350008798942667
PLA2G4A,6,13,0,0.14567048475146294,0.24028700547552503
CST3,6,13,0,0.13434463739395142,0.6058183152029533
LILRA3,6,12,2,0.15830394253134727,0.2678689958856033
CEBPA,6,12,0,0.14587825536727905,0.474078809883346
JAG1,6,12,0,0.1825658679008484,0.38402425621733743
PDGFC,6,12,0,0.16441141068935394,0.3810071195009207
IKZF3,6,10,0,0.16795861721038818,0.34554079432745355
IFNLR1,6,10,0,0.1675496194511652,0.2926620208494472
IL1R2,6,9,0,0.15456083416938782,0.3701518778586276
MS4A6A,6,9,0,0.14236760139465332,0.48339108623722427
RUNX2,6,9,0,0.15019351243972778,0.5059731059018096
CNRIP1,6,7,0,0.1524837389588356,0.2905369777860751
MACROD2,6,7,0,0.14137710630893707,0.3551616288997895
IGHG1,6,7,0,0.13374704867601395,0.32785386999692057
ERG,6,7,0,0.1340920776128769,0.3966567342991524
ASRGL1,6,6,0,0.1430651843547821,0.35723332791697615
G0S2,6,6,1,0.16876590251922607,0.5839879158191127
RUBCNL,6,6,0,0.15286323428153992,0.5222372790773662
KLF8,6,6,0,0.13653546944260597,0.27267067193634964
GPSM1,6,5,0,0.1437271535396576,0.504222676241486
FGL2,6,5,0,0.14050064980983734,0.48015139263855533
IL1R1,6,5,0,0.13810312002897263,0.31673590244146826
JUP,6,5,0,0.17570096254348755,0.44300823633793
HNMT,6,4,0,0.1519683599472046,0.27883187042293905
PRAG1,6,4,0,0.14703577756881714,0.4269573240090368
ADAM28,6,4,0,0.18311939388513565,0.4136416592774412
DNTT,6,4,0,0.23322131484746933,0.5142236502560297
DIPK1B,6,4,0,0.1661905124783516,0.3805389849100416
TPSAB1,6,4,1,0.13706570863723755,0.32695513299687673
CAMK2D,6,4,0,0.14703479409217834,0.400827141937654
SGMS2,6,4,0,0.13863805681467056,0.2421292289924931
SERPINB2,6,4,0,0.17190703749656677,0.374295950529868
CD163,6,4,0,0.14540693908929825,0.32356662257902447
SHANK3,6,4,0,0.2150516975671053,0.32330554156682023
MPEG1,6,4,0,0.13718439638614655,0.5109398086097194
PSD3,6,3,0,0.14267906546592712,0.3471265893984601
TBC1D9,6,3,0,0.16930074244737625,0.42280719782239023
MAP7,6,3,0,0.15678290277719498,0.297683699448916
CTSH,6,3,0,0.1330954134464264,0.6090469324804899
CPVL,6,3,0,0.13518930971622467,0.4750131518100259
TPSB2,6,3,1,0.13744745030999184,0.31262795091029044
TXLNGY,1,3,3,0.15691299736499786,0.33986261321631295
RAPGEF3,6,3,0,0.13509920984506607,0.2521597513638716
TLCD4,6,3,0,0.14693878591060638,0.29342307359086706
XIST,1,3,3,0.1334477961063385,0.4064947067969075
EIF1AY,1,3,3,0.16025108098983765,0.42580477682814866
CXCL2,6,3,1,0.1922689527273178,0.43151022821920015
USP9Y,1,3,3,0.1768607646226883,0.32094985080161087
LRRK2,6,2,0,0.1727277711033821,0.33760372391270893
GUCY1A1,6,2,0,0.15080951154232025,0.41983692081847745
HOXA9,6,2,1,0.17232777178287506,0.35538731194683476
CAVIN2,6,2,0,0.15691107884049416,0.2982855660581416
CD36,6,2,0,0.1622379720211029,0.45673629186964737
PF4,6,2,1,0.1761365383863449,0.46465003070375305
BEX3,6,2,1,0.18154636025428772,0.5136628662558621
PXDN,6,2,0,0.17149122059345245,0.41172539487994797
PPBP,6,2,1,0.19552378356456757,0.5068288114837074
VPREB1,6,2,0,0.1414158120751381,0.35414973484565415
STK32B,6,2,0,0.18495642766356468,0.3111427811650025
TFEC,6,2,0,0.15194685757160187,0.406356849028944
TGFBI,6,2,0,0.19157691299915314,0.44645161778427916
IGKV1D-37,6,2,2,0.14029474556446075,0.36919934236155516
KIF26A,6,2,0,0.16505105793476105,0.30091616468864957
LEF1-AS1,6,2,0,0.14066974073648453,0.31719730831487175
IGKV1D-39,6,2,3,0.15002450346946716,0.4944215273566345
CRIM1,6,2,0,0.13755930960178375,0.36314975788756737
IGKV1OR2-108,6,2,2,0.1720399409532547,0.36776730315490647
EREG,6,2,0,0.1689646616578102,0.3858406641764158
EBF1,6,2,0,0.14356660097837448,0.37945011829604564
EGFL7,6,2,0,0.16862057894468307,0.34973142014669434
CXCL3,6,1,1,0.15251071006059647,0.32918353391467825
ADGRA3,6,1,0,0.136503703892231,0.30203931441515325
CRNDE,6,1,0,0.1621713787317276,0.4946951337734869
HLA-DQA1,6,1,0,0.14532673358917236,0.5866417178387828
HOXA10,6,1,1,0.1426273826509714,0.28457110686400805
ITPR3,6,1,0,0.14039140939712524,0.3878262748931668
LGALS2,6,1,0,0.13648095726966858,0.28900288621968173
TCEAL9,6,1,1,0.16862713545560837,0.35971699268263874
SIT1,6,1,0,0.1435723602771759,0.31199596383704853
SCRN1,6,1,0,0.14499473571777344,0.34280836869067627
SDK2,6,1,0,0.22285788506269455,0.3995216971088805
MYH10,6,1,0,0.1378098726272583,0.43525854224705257
SETBP1,6,1,0,0.13592029362916946,0.37886701932311134
RASGRP3,6,1,0,0.15928207337856293,0.34083997420521017
NAPSB,6,1,0,0.17670150846242905,0.4473294382788023
SHTN1,6,1,0,0.1353399008512497,0.258182681030866
SOCS2,6,1,0,0.1874743402004242,0.5553290714502676
AKAP12,6,0,0,0.15498832613229752,0.31262892049718144
TNNI2,6,0,0,0.14170822501182556,0.21453902706915642
USP7-AS1,6,0,0,0.13356871157884598,0.2870351278020037
AKR1C3,6,0,0,0.1461382657289505,0.46038057160553103
CYTL1,6,0,0,0.21178701519966125,0.40458454673263783
EMP1,6,0,0,0.16984011232852936,0.4052440263040413
LAPTM4B,6,0,0,0.15937823057174683,0.4581209129577446
KYNU,6,0,0,0.1390930414199829,0.40828476522933804
JCHAIN,6,0,0,0.15159761905670166,0.5444836135725277
IGF2BP2,6,0,0,0.15905116498470306,0.46082772043527404
IGKV4-1,6,0,1,0.18363415449857712,0.2896028600358561
IGLL1,6,0,0,0.19618351757526398,0.49924271109243784
IL32,7,0,0,0.13539965450763702,0.28857370308006114
ITGA9,6,0,0,0.15512090921401978,0.3224993537511557
IGHD,6,0,0,0.1360325813293457,0.5143541136595691
IGFBP2,6,0,0,0.21457722038030624,0.34131637637435586
FHL1,6,0,0,0.1339224874973297,0.6026638077948783
FLT3,6,0,0,0.1710878312587738,0.5059925896766105
GNG11,4,0,0,0.1365211308002472,0.40586063006566936
GTSF1,6,0,0,0.1344025582075119,0.36411276511192137
HCAR3,6,0,0,0.1390903890132904,0.4640564554546896
HOXB2,6,0,0,0.13816917687654495,0.35179213798351533
GNAI1,6,0,0,0.1568642482161522,0.30036290674494565
VNN1,6,0,0,0.14733325690031052,0.3467441653160156
TSPAN7,6,0,0,0.166944932192564,0.3282316535648302
TUBB6,6,0,0,0.1338360458612442,0.5103154318924382
AREG,6,0,0,0.17062324285507202,0.4713228253002513
ARHGAP24,6,0,0,0.16413318365812302,0.41097134953102127
TMEM158,6,0,0,0.14626614190638065,0.22879658416341214
COL9A3,6,0,0,0.1551995575428009,0.3186979330160387
CLECL1P,6,0,0,0.1788748800754547,0.39863288409266806
