covariate,pc,n_levels,H,p_value,eta_squared
leukemia_class,1,18,1825.9873,0.0,0.8705424666404724
sample_type,1,2,826.9136,0.0,0.3944191038608551
leukemia_class,2,18,1711.1089,0.0,0.8152593374252319
sample_type,2,2,770.8076,0.0,0.3676254153251648
leukemia_class,3,18,230.97705,1.565688e-39,0.1029725968837738
sample_type,3,2,17.066895,3.60859e-05,0.007672824431210756
leukemia_class,4,18,1351.915,0.0,0.642403781414032
sample_type,4,2,42.06543,8.826995e-11,0.019610997289419174
leukemia_class,5,18,819.7593,0.0,0.38631340861320496
sample_type,5,2,7.8339844,0.0051272954,0.003263602964580059
leukemia_class,6,18,461.07812,0.0,0.21370458602905273
sample_type,6,2,10.427246,0.0012416976,0.00450202776119113
leukemia_class,7,18,342.69336,0.0,0.15673404932022095
sample_type,7,2,0.04736328,0.8277166,0.0
leukemia_class,8,18,554.2456,0.0,0.25853976607322693
sample_type,8,2,0.0087890625,0.92530775,0.0
leukemia_class,9,18,700.5513,0.0,0.32894670963287354
sample_type,9,2,1.6899414,0.19360869,0.0003294849011581391
leukemia_class,10,18,166.82422,1.1939172e-26,0.0721001997590065
sample_type,10,2,0.4638672,0.49582216,0.0
